,date,distance,duration,id,moves_user_id
0,2017-10-05 00:00:00+00:00,0.0,0.0,1830,59
1,2017-10-06 00:00:00+00:00,0.0,0.0,1831,59
2,2017-10-07 00:00:00+00:00,0.0,0.0,1832,59
3,2017-10-08 00:00:00+00:00,0.0,0.0,1833,59
4,2017-10-09 00:00:00+00:00,6464.0,2847.0,1834,59
5,2017-10-10 00:00:00+00:00,5709.0,1292.0,1835,59
6,2017-10-11 00:00:00+00:00,0.0,0.0,1836,59
7,2017-10-12 00:00:00+00:00,0.0,0.0,1837,59
8,2017-10-13 00:00:00+00:00,0.0,0.0,1838,59
9,2017-10-14 00:00:00+00:00,0.0,0.0,1839,59
10,2017-10-15 00:00:00+00:00,0.0,0.0,1840,59
11,2017-10-16 00:00:00+00:00,14264.0,2373.0,1841,59
12,2017-10-17 00:00:00+00:00,0.0,0.0,1842,59
13,2017-10-18 00:00:00+00:00,0.0,0.0,1843,59
14,2017-10-19 00:00:00+00:00,36200.0,6646.0,1844,59
15,2017-10-20 00:00:00+00:00,15542.0,3291.0,1845,59
16,2017-10-21 00:00:00+00:00,71683.0,6667.0,1846,59
17,2017-10-22 00:00:00+00:00,0.0,0.0,1847,59
18,2017-10-23 00:00:00+00:00,0.0,0.0,1848,59
19,2017-10-24 00:00:00+00:00,0.0,0.0,1849,59
20,2017-10-25 00:00:00+00:00,68206.0,5187.0,1850,59
21,2017-10-26 00:00:00+00:00,0.0,0.0,1851,59
22,2017-10-27 00:00:00+00:00,0.0,0.0,1852,59
23,2017-10-28 00:00:00+00:00,0.0,0.0,1853,59
24,2017-10-29 00:00:00+00:00,0.0,0.0,1854,59
25,2017-10-30 00:00:00+00:00,9160.0,2058.0,1855,59
26,2017-10-31 00:00:00+00:00,0.0,0.0,1856,59
27,2017-11-01 00:00:00+00:00,12587.0,2670.0,1857,59
28,2017-11-02 00:00:00+00:00,0.0,0.0,1858,59
29,2017-11-03 00:00:00+00:00,6207.0,1260.0,1859,59
30,2017-11-04 00:00:00+00:00,0.0,0.0,1860,59
31,2017-11-05 00:00:00+00:00,0.0,0.0,1861,59
32,2017-11-06 00:00:00+00:00,8792.0,1628.0,1862,59
33,2017-11-07 00:00:00+00:00,4641.0,810.0,1863,59
34,2017-11-08 00:00:00+00:00,0.0,0.0,1864,59
35,2017-11-09 00:00:00+00:00,0.0,0.0,1865,59
36,2017-11-10 00:00:00+00:00,0.0,0.0,1866,59
37,2017-11-11 00:00:00+00:00,0.0,0.0,1867,59
38,2017-11-12 00:00:00+00:00,0.0,0.0,1868,59
39,2017-11-13 00:00:00+00:00,5254.0,765.0,1869,59
40,2017-11-14 00:00:00+00:00,0.0,0.0,1870,59
