enddate,endtime,startdate,starttime,"time_spent
H:MM",type
102420170000,10019001316,102420170000,10019001311,0:04,place 8.5
102120170000,10019001816,102120170000,10019001642,1:34,place 8.5
110920170000,10019001510,110920170000,10019001504,0:06,place 8.6
101920170000,10019001115,101920170000,10019001109,0:05,place 8.6
102320170000,10019001238,102320170000,10019000827,4:11,place 8.6
102420170000,10019001308,102420170000,10019000849,4:18,place 8.6
101020170000,10019000814,101020170000,10019000658,1:16,place 9
110320170000,10019001013,110320170000,10019000843,1:29,place 9
111320170000,10019000855,111320170000,10019000849,0:06,place 9.1
102920170000,10019001357,102920170000,10019001228,1:28,place 9.1
101220170000,10019001416,101220170000,10019001412,0:04,place 9.2
102720170000,10019001420,102720170000,10019001414,0:05,place 9.2
102020170000,10019001417,102020170000,10019001415,0:01,place 9.2
110920170000,10019001529,110920170000,10019001525,0:03,place 9.2
101020170000,10019001611,101020170000,10019001329,2:42,place 9.3
111220170000,10019001054,111220170000,10019001011,0:42,place 9.3
101120170000,10019000712,101120170000,10019000708,0:03,place 9.3
100820170000,10019001104,100820170000,10019001052,0:12,place 9.3
101520170000,10019001143,101520170000,10019001101,0:41,place 9.3
110620170000,10019001752,110620170000,10019001745,0:06,place 9.5
111320170000,10019000928,111320170000,10019000921,0:07,place 9.5
103120170000,10019001521,103020170000,10019001858,20:22,place 9.6
100520170000,10019001421,100520170000,10019001408,0:12,place 9.6
101820170000,10019001417,101820170000,10019001115,3:02,place 9.6
110320170000,10019001617,110320170000,10019001036,5:40,place 9.6
110620170000,10019001837,110620170000,10019001822,0:14,place 9.7
103020170000,10019001858,103020170000,10019001849,0:09,place 9.7
110120170000,10019001352,110120170000,10019001349,0:03,place 9.8
100620170000,10019001225,100620170000,10019001220,0:05,place 9.8
102620170000,10019001827,102620170000,10019001645,1:41,place 9.9
102920170000,10019001814,102920170000,10019001701,1:12,place 9.9
101920170000,10019001441,101920170000,10019001429,0:12,place unique
101920170000,10019001500,101920170000,10019001445,0:14,place unique
101920170000,10019001519,101920170000,10019001512,0:07,place unique
102020170000,10019001931,102020170000,10019001920,0:10,place unique
102020170000,10019001918,102020170000,10019001554,3:23,place unique
101920170000,10019001342,101920170000,10019001332,0:10,place unique
111320170000,10019001726,111320170000,10019001721,0:05,place unique
100920170000,10019001140,100920170000,10019001106,0:33,place unique
103020170000,10019001335,103020170000,10019001306,0:29,place unique
110720170000,10019001757,110720170000,10019001730,0:27,place unique
110720170000,10019001535,110720170000,10019001526,0:08,place unique
101420170000,10019001323,101420170000,10019001313,0:09,place unique
101420170000,10019001330,101420170000,10019001323,0:06,place unique
101420170000,10019001300,101420170000,10019001243,0:16,place unique
110720170000,10019001723,110720170000,10019001718,0:05,place unique
110720170000,10019001708,110720170000,10019001550,1:17,place unique
101420170000,10019001354,101420170000,10019001352,0:02,place unique
101420170000,10019001410,101420170000,10019001407,0:02,place unique
110120170000,10019001558,110120170000,10019001538,0:20,place unique
102020170000,10019000656,102020170000,10019000654,0:02,place unique
103120170000,10019001653,103120170000,10019001634,0:19,place unique
101420170000,10019001426,101420170000,10019001415,0:11,place unique
101320170000,10019001432,101320170000,10019001424,0:08,place unique
101120170000,10019000722,101120170000,10019000716,0:06,place unique
101320170000,10019001442,101320170000,10019001432,0:10,place unique
101520170000,10019001056,101520170000,10019001053,0:02,place unique
101520170000,10019001335,101520170000,10019001333,0:02,place unique
102920170000,10019001228,102920170000,10019001224,0:03,place unique
101320170000,10019001501,101320170000,10019001442,0:18,place unique
102720170000,10019001417,102720170000,10019001413,0:03,place unique
102020170000,10019000651,102020170000,10019000643,0:07,place unique
101520170000,10019001313,101520170000,10019001258,0:14,place unique
100520170000,10019001342,100520170000,10019001335,0:07,place unique
101520170000,10019001258,101520170000,10019001248,0:09,place unique
101220170000,10019001424,101220170000,10019001421,0:02,place unique
101520170000,10019001319,101520170000,10019001315,0:04,place unique
101520170000,10019001330,101520170000,10019001323,0:06,place unique
110920170000,10019001521,110920170000,10019001517,0:03,place unique
100820170000,10019001215,100820170000,10019001214,0:01,place unique
111320170000,10019001851,111320170000,10019001845,0:06,place unique
100920170000,10019001729,100920170000,10019001724,0:04,place unique
101720170000,10019001532,101720170000,10019001529,0:03,place unique
102720170000,10019001500,102720170000,10019001455,0:05,place unique
111220170000,10019001543,111220170000,10019001540,0:02,place unique
101220170000,10019000558,101220170000,10019000551,0:06,place unique
102820170000,10019000752,102820170000,10019000740,0:12,place unique
